"min_temp","winter_season","model_type","pred","lwr","upr"
-25,"2021-22","parallel",17.2255750432121,13.5541428803275,21.8914938546202
-24.5,"2021-22","parallel",17.1949409090313,13.6336961910665,21.6864149473137
-24,"2021-22","parallel",17.1643612548997,13.7123818794002,21.4853480511139
-23.5,"2021-22","parallel",17.1338359839295,13.790039847916,21.2884327211398
-23,"2021-22","parallel",17.1033649994052,13.8664892902312,21.095829534081
-22.5,"2021-22","parallel",17.0729482047831,13.9415259588652,20.9077228176631
-22,"2021-22","parallel",17.0425855036915,14.0149191606797,20.7243236525776
-21.5,"2021-22","parallel",17.0122767999299,14.0864085100102,20.545873116754
-21,"2021-22","parallel",16.9820219974688,14.1557005061857,20.3726457052758
-20.5,"2021-22","parallel",16.9518210004497,14.2224650557786,20.204952805599
-20,"2021-22","parallel",16.9216741642981,14.286330205047,20.0431498091453
-19.5,"2021-22","parallel",16.891591797688,14.3468521759111,19.8876987063958
-19,"2021-22","parallel",16.8616040511532,14.4035540357915,19.7391345546642
-18.5,"2021-22","parallel",16.8317571551642,14.456041896999,19.5978989926167
-18,"2021-22","parallel",16.802109388506,14.5040744009034,19.4642465351486
-17.5,"2021-22","parallel",16.7727303719088,14.5475675421108,19.3382490450312
-17,"2021-22","parallel",16.7436961034876,14.5865685933644,19.2198293527019
-16.5,"2021-22","parallel",16.7150839141853,14.6212275591465,19.1087943285226
-16,"2021-22","parallel",16.6869700503287,14.6517592998593,19.004882878689
-15.5,"2021-22","parallel",16.6594261782855,14.6783709860385,18.9078529799885
-15,"2021-22","parallel",16.6325138253653,14.7012096205183,18.8175342908425
-14.5,"2021-22","parallel",16.6062762750186,14.7203555686498,18.7338145764328
-14,"2021-22","parallel",16.5807394549235,14.7358943622636,18.6565480257572
-13.5,"2021-22","parallel",16.5559166925359,14.7479929621647,18.5854697811002
-13,"2021-22","parallel",16.5317933012355,14.7568721119389,18.5201977547577
-12.5,"2021-22","parallel",16.5083268418809,14.7627833520978,18.4602624463522
-12,"2021-22","parallel",16.4854610694288,14.76600304467,18.4051449704768
-11.5,"2021-22","parallel",16.4631220963948,14.7667557645412,18.3543625615876
-11,"2021-22","parallel",16.4412233597376,14.7651941551902,18.3075022734978
-10.5,"2021-22","parallel",16.4196780706246,14.7614577941566,18.2641736136438
-10,"2021-22","parallel",16.3984126700781,14.7557173607722,18.2239827128341
-9.5,"2021-22","parallel",16.3773790110975,14.7482056406829,18.1865204356289
-9,"2021-22","parallel",16.3565609134671,14.7392179512967,18.1513758599669
-8.5,"2021-22","parallel",16.3359846373586,14.7290709906457,18.1182095083593
-8,"2021-22","parallel",16.3157249546817,14.7180572733163,18.0868219122537
-7.5,"2021-22","parallel",16.295904860801,14.7064317985747,18.0571683783971
-7,"2021-22","parallel",16.2766885519735,14.6944394244482,18.0293090852558
-6.5,"2021-22","parallel",16.2582674507103,14.6823577986185,18.0033250874527
-6,"2021-22","parallel",16.2408571596668,14.6705041742961,17.9793031068993
-5.5,"2021-22","parallel",16.2246883307765,14.6592184574646,17.9573360063265
-5,"2021-22","parallel",16.2099990021249,14.6488151370968,17.9375645872863
-4.5,"2021-22","parallel",16.1970272824877,14.6395444664885,17.9202087462615
-4,"2021-22","parallel",16.1860056856142,14.6315866642587,17.9055618550723
-3.5,"2021-22","parallel",16.1771579320432,14.6250788064106,17.893950673521
-3,"2021-22","parallel",16.1706979518219,14.6201529117036,17.8856865470765
-2.5,"2021-22","parallel",16.166830420335,14.6169564821856,17.8810415258751
-2,"2021-22","parallel",16.1657519006248,14.615640517275,17.8802656102326
-1.5,"2021-22","parallel",16.167651590209,14.6163245575577,17.8836312037987
-1,"2021-22","parallel",16.1727107872493,14.6190652422012,17.8914704787669
-0.5,"2021-22","parallel",16.1811004755321,14.6238514449536,17.9041761730707
0,"2021-22","parallel",16.1929768272359,14.6306278341161,17.9221631156501
0.5,"2021-22","parallel",16.2084748652678,14.6393257180119,17.9458168032139
1,"2021-22","parallel",16.2277009353889,14.6498730640809,17.9754648041344
1.5,"2021-22","parallel",16.2507249422,14.662170742911,18.0113890212827
2,"2021-22","parallel",16.2775734513396,14.6760485552927,18.053864871427
2.5,"2021-22","parallel",16.3082247293782,14.6912322620317,18.1031916914996
3,"2021-22","parallel",16.3426065899015,14.7073473619839,18.1596846514044
3.5,"2021-22","parallel",16.3805975748413,14.7239597162551,18.2236288389644
4,"2021-22","parallel",16.4220315819495,14.7406261099385,18.2952283890247
4.5,"2021-22","parallel",16.466705622243,14.7569206316913,18.374591882489
5,"2021-22","parallel",16.5143900255418,14.7724224622793,18.4617708173527
5.5,"2021-22","parallel",16.5648401932749,14.786685601596,18.5568245664951
6,"2021-22","parallel",16.6178088720018,14.7992286570345,18.6598624905438
6.5,"2021-22","parallel",16.6730563858105,14.8095551491249,18.7710438595344
7,"2021-22","parallel",16.7303580254425,14.8172161506512,18.8905174098568
7.5,"2021-22","parallel",16.7895082125291,14.8218741175752,19.018349756751
8,"2021-22","parallel",16.8503251253677,14.8233254159275,19.1545047324882
8.5,"2021-22","parallel",16.912649624788,14.8214748252903,19.2988700991325
9,"2021-22","parallel",16.9763460569915,14.8162684428223,19.4513434039694
9.5,"2021-22","parallel",17.0412989144496,14.8076289178375,19.6119088547522
10,"2021-22","parallel",17.1074052755125,14.7954348781723,19.7806497524718
-25,"2022-23","parallel",25.353192806355,19.7880528042069,32.4834581672208
-24.5,"2022-23","parallel",25.3081044358132,19.9037997307711,32.1797927429817
-24,"2022-23","parallel",25.2630962508786,20.0183177520749,31.8820012793036
-23.5,"2022-23","parallel",25.2181681089483,20.131386069348,31.5902740417601
-23,"2022-23","parallel",25.1733198676729,20.242756460362,31.3048291817885
-22.5,"2022-23","parallel",25.1285513849564,20.3521498256774,31.025916186492
-22,"2022-23","parallel",25.0838625189554,20.4592524109384,30.7538196524452
-21.5,"2022-23","parallel",25.0392531280786,20.563711742901,30.4888633458128
-21,"2022-23","parallel",24.9947230709868,20.66513235838,30.2314144695996
-20.5,"2022-23","parallel",24.9502722065919,20.7630714651305,29.9818879990123
-20,"2022-23","parallel",24.9059010580215,20.8570320938437,29.7407562457101
-19.5,"2022-23","parallel",24.8616247979358,20.9464223419642,29.5086376805757
-19,"2022-23","parallel",24.8174878029259,21.030610146299,29.2862497361622
-18.5,"2022-23","parallel",24.7735581165857,21.109084003415,29.0741740217889
-18,"2022-23","parallel",24.7299215156317,21.1815473080824,28.8727263062573
-17.5,"2022-23","parallel",24.6866804702453,21.2479226011621,28.681965954011
-17,"2022-23","parallel",24.6439468370616,21.308312928604,28.5017456681264
-16.5,"2022-23","parallel",24.6018344344177,21.3629603086747,28.3317596809246
-16,"2022-23","parallel",24.5604554842753,21.4121920133758,28.1716123794449
-15.5,"2022-23","parallel",24.5199154676551,21.456319042489,28.0209412131861
-15,"2022-23","parallel",24.4803049425639,21.4955621002512,27.8794909984659
-14.5,"2022-23","parallel",24.4416876150704,21.5300405610113,27.747095588594
-14,"2022-23","parallel",24.4041016464216,21.5598710917539,27.6235500033516
-13.5,"2022-23","parallel",24.3675666524247,21.5852739670216,27.5084905323668
-13,"2022-23","parallel",24.3320610168074,21.6065330088211,27.4013972109235
-12.5,"2022-23","parallel",24.2975222761843,21.6239647227352,27.3016348450182
-12,"2022-23","parallel",24.2638676471696,21.6379136778794,27.2085045704399
-11.5,"2022-23","parallel",24.2309883796267,21.6486443407465,27.1213655974062
-11,"2022-23","parallel",24.198757067099,21.6563123001737,27.0396841103818
-10.5,"2022-23","parallel",24.1670459708031,21.661049253301,26.9629649111251
-10,"2022-23","parallel",24.1357468241094,21.6630271026294,26.8907143954411
-9.5,"2022-23","parallel",24.1047887626094,21.6625050003762,26.8224215657391
-9,"2022-23","parallel",24.0741479717063,21.6598338053992,26.7575737547507
-8.5,"2022-23","parallel",24.0438631020224,21.6553994999826,26.6957602361138
-8,"2022-23","parallel",24.0140442054215,21.6495578615798,26.6367711889086
-7.5,"2022-23","parallel",23.9848723107047,21.6426141883318,26.5806198250744
-7,"2022-23","parallel",23.9565890875607,21.6348622982915,26.5274700063867
-6.5,"2022-23","parallel",23.9294762782142,21.6266478663717,26.477512302774
-6,"2022-23","parallel",23.9038512140562,21.61838055024,26.4309392433835
-5.5,"2022-23","parallel",23.8800533765222,21.610510531875,26.3879443488591
-5,"2022-23","parallel",23.8584331182397,21.6034583661151,26.3487827370427
-4.5,"2022-23","parallel",23.8393408958803,21.5975569042276,26.3138176632723
-4,"2022-23","parallel",23.8231189311641,21.5930420420483,26.2835127400397
-3.5,"2022-23","parallel",23.8100965036617,21.5900933237464,26.2583716991228
-3,"2022-23","parallel",23.8005884829619,21.5888926338601,26.2388637408316
-2.5,"2022-23","parallel",23.7948961173238,21.589656960928,26.2253857140441
-2,"2022-23","parallel",23.7933087149823,21.5926212728021,26.2182869070896
-1.5,"2022-23","parallel",23.7961047433401,21.5979851324465,26.2179364178436
-1,"2022-23","parallel",23.8035510432567,21.605863479932,26.2247811940127
-0.5,"2022-23","parallel",23.8158992745398,21.6162775972336,26.2393492914623
0,"2022-23","parallel",23.8333792967642,21.6291898196463,26.262193519032
0.5,"2022-23","parallel",23.8561898412806,21.6445496899884,26.2938153897683
1,"2022-23","parallel",23.8844874314317,21.6623079152765,26.3346242742637
1.5,"2022-23","parallel",23.918374955209,21.6823777248895,26.384959608985
2,"2022-23","parallel",23.9578915128317,21.7045644951041,26.445154698685
2.5,"2022-23","parallel",24.003005116292,21.7285122337775,26.5155869124397
3,"2022-23","parallel",24.0536095191465,21.7537072003944,26.5966681251041
3.5,"2022-23","parallel",24.1095259552403,21.7795390535714,26.6887761194876
4,"2022-23","parallel",24.1705099495811,21.8053777985768,26.7921774444527
4.5,"2022-23","parallel",24.2362627360141,21.8306134971806,26.9070052238782
5,"2022-23","parallel",24.306446278082,21.8546363614942,27.0333178231338
5.5,"2022-23","parallel",24.3807005672098,21.8767894909646,27.1711971445101
6,"2022-23","parallel",24.4586616872938,21.896353777191,27.3208104701274
6.5,"2022-23","parallel",24.5399768750975,21.9125795914012,27.4824085643771
7,"2022-23","parallel",24.6243153958183,21.9247852050161,27.6562302910959
7.5,"2022-23","parallel",24.7113746721546,21.9324570822306,27.8423906586528
8,"2022-23","parallel",24.8008870926814,21.935284950291,28.0408484310923
8.5,"2022-23","parallel",24.8926184309036,21.9331233884081,28.2514460605301
9,"2022-23","parallel",24.9863690269031,21.925888540213,28.4740404478274
9.5,"2022-23","parallel",25.0819688727328,21.9134594468359,28.7086191962982
10,"2022-23","parallel",25.1792664847747,21.8956480825529,28.9553183500644
-25,"2023-24","parallel",27.2386182353032,21.2339246105951,34.9413656201072
-24.5,"2023-24","parallel",27.1901768054045,21.3578057838016,34.6152466312746
-24,"2023-24","parallel",27.141821524227,21.4803542516016,34.2954528134967
-23.5,"2023-24","parallel",27.0935522385631,21.6013335170428,33.9821878276448
-23,"2023-24","parallel",27.0453687954775,21.7204779963463,33.675684918464
-22.5,"2023-24","parallel",26.9972710423068,21.8374894075857,33.3762105216452
-22,"2023-24","parallel",26.9492588266593,21.9520328320572,33.0840681982624
-21.5,"2023-24","parallel",26.9013319964142,22.0637324911493,32.7996028537601
-21,"2023-24","parallel",26.8534903997212,22.172167325133,32.5232051550736
-20.5,"2023-24","parallel",26.8057338850002,22.2768665226596,32.255315997093
-20,"2023-24","parallel",26.7580630142818,22.3773023865639,31.9964365636041
-19.5,"2023-24","parallel",26.7104940885622,22.4728468308602,31.7472236528302
-19,"2023-24","parallel",26.6630747845593,22.5628294257882,31.5084399899979
-18.5,"2023-24","parallel",26.6158782060235,22.6467082795379,31.2807037532225
-18,"2023-24","parallel",26.5689965085762,22.7241698750473,31.0643503967057
-17.5,"2023-24","parallel",26.5225397827361,22.795132670259,30.8594438427905
-17,"2023-24","parallel",26.4766282035126,22.8597056107733,30.6658297776446
-16.5,"2023-24","parallel",26.4313840535016,22.9181440442765,30.4831866679085
-16,"2023-24","parallel",26.386927900207,22.9707926541099,30.3110987285042
-15.5,"2023-24","parallel",26.3433730688922,23.0179776667711,30.1491866354818
-15,"2023-24","parallel",26.3008168520362,23.059928921366,29.9971855699621
-14.5,"2023-24","parallel",26.2593276932981,23.0967695550203,29.8549236187071
-14,"2023-24","parallel",26.2189465918388,23.1286212624821,29.7221850184736
-13.5,"2023-24","parallel",26.1796946222225,23.1557171154039,29.5985828077375
-13,"2023-24","parallel",26.1415485606528,23.1783622963181,29.4835567937223
-12.5,"2023-24","parallel",26.1044412985676,23.196902276958,29.3764161858481
-12,"2023-24","parallel",26.0682838962797,23.2117160789161,29.2763974445776
-11.5,"2023-24","parallel",26.0329595162974,23.2231041874799,29.1827903671271
-11,"2023-24","parallel",25.9983312774057,23.2312585576592,29.0949897325682
-10.5,"2023-24","parallel",25.9642619413491,23.2363502335084,29.0124262797016
-10,"2023-24","parallel",25.9306351900996,23.2385957602545,28.9345297925466
-9.5,"2023-24","parallel",25.8973748893184,23.2383050729681,28.8607118312626
-9,"2023-24","parallel",25.8644554534031,23.2358843883929,28.7903849373276
-8.5,"2023-24","parallel",25.8319184072832,23.2317747833999,28.7230749618554
-8,"2023-24","parallel",25.7998819869825,23.226382306371,28.6585272627516
-7.5,"2023-24","parallel",25.7685406837604,23.220056596945,28.5967299949639
-7,"2023-24","parallel",25.7381541394082,23.2131329552272,28.5378358785802
-6.5,"2023-24","parallel",25.7090250483025,23.2060008460886,28.4820281322039
-6,"2023-24","parallel",25.6814943406245,23.1991182233195,28.4294922427081
-5.5,"2023-24","parallel",25.6559267438186,23.1929880437939,28.3804129007137
-5,"2023-24","parallel",25.6326986649725,23.1880851347901,28.3350365944407
-4.5,"2023-24","parallel",25.6121866229555,23.18479447522,28.2937208828925
-4,"2023-24","parallel",25.5947582892815,23.1833998232158,28.2569276673016
-3.5,"2023-24","parallel",25.5807674308541,23.1841242137546,28.2251620254528
-3,"2023-24","parallel",25.5705523329769,23.1871891515815,28.1988964828415
-2.5,"2023-24","parallel",25.5644366466547,23.1928460897306,28.1785348176909
-2,"2023-24","parallel",25.5627311949312,23.2013546877326,28.1644427637587
-1.5,"2023-24","parallel",25.5657351538249,23.2129221960574,28.1570242830749
-1,"2023-24","parallel",25.5737352081866,23.2276472845768,28.1567876628086
-0.5,"2023-24","parallel",25.5870017328555,23.2455076800804,28.1643518690785
0,"2023-24","parallel",25.6057816812333,23.2663966753559,28.1803867034323
0.5,"2023-24","parallel",25.6302885636038,23.2901745907672,28.2055288719912
1,"2023-24","parallel",25.6606905433856,23.3166877544043,28.2403335370403
1.5,"2023-24","parallel",25.6970981599789,23.345731447897,28.2852929803181
2,"2023-24","parallel",25.739553421345,23.3769779081068,28.3409007329609
2.5,"2023-24","parallel",25.7880219606434,23.4099218491191,28.4077016971182
3,"2023-24","parallel",25.8423896302662,23.4438883672805,28.4862771627316
3.5,"2023-24","parallel",25.9024643698649,23.4781047914066,28.5771644003264
4,"2023-24","parallel",25.9679835237246,23.5117906561186,28.6807660952419
4.5,"2023-24","parallel",26.0386261075299,23.5442059884946,28.7973206613577
5,"2023-24","parallel",26.1140289462726,23.5746315901209,28.9269635115967
5.5,"2023-24","parallel",26.1938052588394,23.6023164311918,29.069834562139
6,"2023-24","parallel",26.2775640659996,23.6264591109,29.2261472614892
6.5,"2023-24","parallel",26.3649263707884,23.6462427470759,29.396185684639
7,"2023-24","parallel",26.4555368428497,23.6609438259519,29.5801991159675
7.5,"2023-24","parallel",26.5490704033001,23.6700425303111,29.7782793747318
8,"2023-24","parallel",26.6452395394192,23.6732594104488,29.990326967805
8.5,"2023-24","parallel",26.7437926061329,23.6705078851435,30.2161004077463
9,"2023-24","parallel",26.8445150955355,23.6617745358285,30.4553654512794
9.5,"2023-24","parallel",26.9472243568028,23.6470052029677,30.7080281119376
10,"2023-24","parallel",27.051757641027,23.6260689867681,30.9741579049273
-25,"2024-25","parallel",50.6058073838992,39.6904539318269,64.5230146617885
-24.5,"2024-25","parallel",50.5158095121394,39.9273602153102,63.9122395496671
-24,"2024-25","parallel",50.4259716934908,40.1620926150855,63.3129016857459
-23.5,"2024-25","parallel",50.3362936433134,40.3942203202967,62.7253710470247
-23,"2024-25","parallel",50.2467750774736,40.6232558329163,62.1500752197333
-22.5,"2024-25","parallel",50.1574157123425,40.8486471550095,61.5875072041944
-22,"2024-25","parallel",50.0682152647962,41.0697690607586,61.0382341350247
-21.5,"2024-25","parallel",49.9791734522141,41.2859134706753,60.5029068992437
-21,"2024-25","parallel",49.890289992478,41.4962790259759,59.982270554318
-20.5,"2024-25","parallel",49.8015646039719,41.699960085765,59.4771753234901
-20,"2024-25","parallel",49.7129983308755,41.8959297954308,58.9885990145791
-19.5,"2024-25","parallel",49.6246214583178,42.0829472562454,58.5178371630297
-19,"2024-25","parallel",49.5365225634357,42.2596618110561,58.0664151703123
-18.5,"2024-25","parallel",49.448837463482,42.424947372803,57.6356054140298
-18,"2024-25","parallel",49.3617373716067,42.5781035916765,57.226154074645
-17.5,"2024-25","parallel",49.2754268216647,42.7188700345469,56.8382938615568
-17,"2024-25","parallel",49.1901290831817,42.8473521777494,56.471839594247
-16.5,"2024-25","parallel",49.1060713413048,42.9639403993517,56.1262821836914
-16,"2024-25","parallel",49.0234775947637,43.0692013046441,55.8009269427794
-15.5,"2024-25","parallel",48.9425583871478,43.163666527308,55.4951470576278
-15,"2024-25","parallel",48.8634944752196,43.2476776841395,55.2085388206972
-14.5,"2024-25","parallel",48.7864130183892,43.3213652188116,54.940883861327
-14,"2024-25","parallel",48.7113901877617,43.3848599398583,54.6918795476953
-13.5,"2024-25","parallel",48.6384651371338,43.4385226757943,54.4608827641932
-13,"2024-25","parallel",48.5675947197148,43.4828668853558,54.2469120786715
-12.5,"2024-25","parallel",48.4986542565312,43.5184947550802,54.0487321064792
-12,"2024-25","parallel",48.4314785092199,43.5460844452945,53.8649603165984
-11.5,"2024-25","parallel",48.3658504089286,43.5661558653889,53.6943285289321
-11,"2024-25","parallel",48.3015156481761,43.5790055244673,53.5357882960667
-10.5,"2024-25","parallel",48.2382192561461,43.5848876567704,53.3883628501807
-10,"2024-25","parallel",48.1757451290822,43.5841511052725,53.2510639736085
-9.5,"2024-25","parallel",48.1139518192923,43.5773399986842,53.1228468680988
-9,"2024-25","parallel",48.0527917920572,43.5652026579594,53.0026410559789
-8.5,"2024-25","parallel",47.9923421952913,43.548568386981,52.889566631047
-8,"2024-25","parallel",47.9328226961375,43.5282070957363,52.7831409772079
-7.5,"2024-25","parallel",47.8745946340414,43.5047886997588,52.6833224542587
-7,"2024-25","parallel",47.8181403896569,43.4789706964351,52.5903560663733
-6.5,"2024-25","parallel",47.7640223297381,43.4515354981088,52.504515731441
-6,"2024-25","parallel",47.7128738581872,43.42341877873,52.4260501783058
-5.5,"2024-25","parallel",47.665372591124,43.3956571131368,52.3551870254522
-5,"2024-25","parallel",47.6222178439254,43.3692366833351,52.2922653431374
-4.5,"2024-25","parallel",47.584109139644,43.3449671179679,52.2378396654717
-4,"2024-25","parallel",47.5517295640975,43.3234587026695,52.1926700279296
-3.5,"2024-25","parallel",47.5257363701478,43.3052038622472,52.157602691576
-3,"2024-25","parallel",47.5067580478588,43.2906942812903,52.1334226139494
-2.5,"2024-25","parallel",47.4953958986715,43.2804812337571,52.120784410597
-2,"2024-25","parallel",47.4922273913458,43.2751311186572,52.1202733368236
-1.5,"2024-25","parallel",47.4978083559839,43.2751076602418,52.1325519588359
-1,"2024-25","parallel",47.5126714157247,43.2806668129377,52.1584834821403
-0.5,"2024-25","parallel",47.5373188918284,43.2918389144047,52.1991383154544
0,"2024-25","parallel",47.5722095915722,43.3085037611348,52.2556756499032
0.5,"2024-25","parallel",47.6177401892739,43.3304902249478,52.3291836524779
1,"2024-25","parallel",47.6742231106775,43.3576100226218,52.4205911723643
1.5,"2024-25","parallel",47.7418637236011,43.3895844713807,52.5307070711012
2,"2024-25","parallel",47.8207400733692,43.4259081137391,52.6603421896255
2.5,"2024-25","parallel",47.910788310865,43.465748900845,52.8104011690891
3,"2024-25","parallel",48.0117963646906,43.5079659625557,52.9818514648188
3.5,"2024-25","parallel",48.123407411716,43.5512434529519,53.1755733545429
4,"2024-25","parallel",48.2451334718097,43.5942534170863,53.3921955594371
4.5,"2024-25","parallel",48.376378197892,43.6357392945767,53.6320457812512
5,"2024-25","parallel",48.5164668580674,43.6744758811169,53.89526740509
5.5,"2024-25","parallel",48.6646808633696,43.7091722393772,54.1820181485861
6,"2024-25","parallel",48.8202938252768,43.7384378937415,54.4925974488771
6.5,"2024-25","parallel",48.9826016167573,43.7608448727239,54.8274437599223
7,"2024-25","parallel",49.1509440802585,43.7751196720469,55.1869491638044
7.5,"2024-25","parallel",49.3247172615262,43.7803356725405,55.5712443853065
8,"2024-25","parallel",49.5033869993475,43.775975189581,55.9801423907611
8.5,"2024-25","parallel",49.6864857699284,43.7618440116226,56.413227639805
9,"2024-25","parallel",49.8736150454998,43.7378608251552,56.8701219213749
9.5,"2024-25","parallel",50.0644354846034,43.7038587957371,57.3507184367092
10,"2024-25","parallel",50.2586447209515,43.6595260021688,57.8552174171873
-25,"2025-26","parallel",12.5687325539802,9.88245150032804,15.9852075174099
-24.5,"2025-26","parallel",12.5463801948528,9.94018402882755,15.8358895104241
-24,"2025-26","parallel",12.5240675873835,9.99726592027673,15.6895165322368
-23.5,"2025-26","parallel",12.5017946608774,10.0535794806104,15.5461912888019
-23,"2025-26","parallel",12.4795613447657,10.1089919713437,15.4060317585817
-22.5,"2025-26","parallel",12.4573675686046,10.1633536639053,15.2691731362709
-22,"2025-26","parallel",12.4352132620762,10.2164957108473,15.1357699596676
-21.5,"2025-26","parallel",12.413098354987,10.2682278595887,15.0059983940357
-21,"2025-26","parallel",12.3910227772688,10.3183360612705,14.8800586213791
-20.5,"2025-26","parallel",12.3689864589779,10.3665800662223,14.7581772431272
-20,"2025-26","parallel",12.3469896594523,10.4126897506148,14.6406123011224
-19.5,"2025-26","parallel",12.325039900471,10.4563435387804,14.5276987108172
-19,"2025-26","parallel",12.3031591815314,10.4971965216427,14.4198239533782
-18.5,"2025-26","parallel",12.2813812349427,10.5349646127287,14.3173072319353
-18,"2025-26","parallel",12.2597485841304,10.5694746137438,14.2203317420004
-17.5,"2025-26","parallel",12.2383120282313,10.6006672635932,14.1289484497584
-17,"2025-26","parallel",12.2171270196744,10.6285780844736,14.0431007260414
-16.5,"2025-26","parallel",12.1962499833943,10.6533166464339,13.9626483088941
-16,"2025-26","parallel",12.175736552929,10.6750390755259,13.8874021497695
-15.5,"2025-26","parallel",12.1556390200256,10.693895391302,13.8171877111637
-15,"2025-26","parallel",12.1360022784129,10.7099914951102,13.7518831241731
-14.5,"2025-26","parallel",12.1168579100913,10.72338438465,13.6914093859681
-14,"2025-26","parallel",12.098224833329,10.7341339958569,13.6356639645333
-13.5,"2025-26","parallel",12.0801127725753,10.7423581915828,13.584459016874
-13,"2025-26","parallel",12.0625110116594,10.7482123510182,13.5375229995916
-12.5,"2025-26","parallel",12.0453885846358,10.7518727784797,13.4945222236334
-12,"2025-26","parallel",12.0287044520092,10.7535327282563,13.4550881510402
-11.5,"2025-26","parallel",12.0124047013831,10.7533475994396,13.4188786678235
-11,"2025-26","parallel",11.9964261715735,10.7514209280688,13.3856019453482
-10.5,"2025-26","parallel",11.9807055366467,10.7478469868789,13.3549821960687
-10,"2025-26","parallel",11.9651891239028,10.7427428773004,13.3267408897287
-9.5,"2025-26","parallel",11.9498418026263,10.7362710269266,13.3005881417912
-9,"2025-26","parallel",11.934651766837,10.7286395665281,13.2762324535578
-8.5,"2025-26","parallel",11.9196381774087,10.7200734057671,13.2534329665975
-8,"2025-26","parallel",11.9048555920636,10.7107823013002,13.2320481063912
-7.5,"2025-26","parallel",11.8903937550244,10.7009518448928,13.21204559172
-7,"2025-26","parallel",11.8763724729644,10.6907630265665,13.1934664313558
-6.5,"2025-26","parallel",11.862931418338,10.6804221586953,13.1763651047836
-6,"2025-26","parallel",11.8502279067708,10.6701658381393,13.16079839551
-5.5,"2025-26","parallel",11.8384302346743,10.6602484660438,13.1468258800596
-5,"2025-26","parallel",11.8277120878051,10.6509081629554,13.1345394300342
-4.5,"2025-26","parallel",11.8182472034993,10.6423392438094,13.1240851999964
-4,"2025-26","parallel",11.8102052366522,10.6346879583472,13.1156596487034
-3.5,"2025-26","parallel",11.8037494261461,10.6280710940717,13.1094814178427
-3,"2025-26","parallel",11.7990358671791,10.6226021704238,13.1057574369676
-2.5,"2025-26","parallel",11.7962139022357,10.6184051449406,13.1046668993978
-2,"2025-26","parallel",11.7954269545862,10.6156054202643,13.1063742040926
-1.5,"2025-26","parallel",11.7968130732068,10.6143050918326,13.1110607317353
-1,"2025-26","parallel",11.8005045432668,10.6145609504017,13.1189512337192
-0.5,"2025-26","parallel",11.8066261239962,10.6163810952786,13.1303142926757
0,"2025-26","parallel",11.8152917672567,10.6197411662802,13.1454352191433
0.5,"2025-26","parallel",11.8265999932316,10.6246054056318,13.1645799594369
1,"2025-26","parallel",11.8406283976715,10.6309331921232,13.1879749705908
1.5,"2025-26","parallel",11.8574279868406,10.6386623211499,13.2158155056391
2,"2025-26","parallel",11.8770181444988,10.6476785279785,13.248292539457
2.5,"2025-26","parallel",11.8993830127333,10.6577927279982,13.2856136066292
3,"2025-26","parallel",11.9244699203426,10.6687435494709,13.3279970806129
3.5,"2025-26","parallel",11.9521902448004,10.6802251401298,13.375640473265
4,"2025-26","parallel",11.982422788717,10.6919218207765,13.4286855342099
4.5,"2025-26","parallel",12.0150194401,10.70352628847,13.4872086315598
5,"2025-26","parallel",12.0498126188795,10.7147315219577,13.5512480039797
5.5,"2025-26","parallel",12.0866238524058,10.7252104063715,13.6208494392577
6,"2025-26","parallel",12.1252727308895,10.7346091822724,13.6960960852911
